city,state_id,state_name,county_name,population,lat,lng
Corsicana,TX,Texas,,23952,32.09543,-96.46887
Hialeah Gardens,FL,Florida,,23926,25.8651,-80.3245
Waverly,MI,Michigan,,23925,42.7392,-84.62081
Hunt Valley,MD,Maryland,,23915,39.49983,-76.64108
Fuquay-Varina,NC,North Carolina,,23907,35.58432,-78.80001
Fountain Hills,AZ,Arizona,,23899,33.61171,-111.71736
Unionport,NY,New York,,23895,40.82732,-73.85013
Champlin,MN,Minnesota,,23894,45.18885,-93.39745
South Portland Gardens,ME,Maine,,23893,43.63897,-70.31533
Centerville,OH,Ohio,,23882,39.62839,-84.15938
Bloomington,CA,California,,23851,34.07029,-117.39588
Bainbridge Island,WA,Washington,,23840,47.62621,-122.52124
Morrisville,NC,North Carolina,,23820,35.82348,-78.82556
Marshall,TX,Texas,,23820,32.54487,-94.36742
Watertown,WI,Wisconsin,,23819,43.19472,-88.72899
Kernersville,NC,North Carolina,,23811,36.11986,-80.07365
Dickinson,ND,North Dakota,,23765,46.87918,-102.78962
Old Bridge,NJ,New Jersey,,23753,40.41483,-74.36543
Fort Washington,MD,Maryland,,23717,38.70734,-77.02303
Dinuba,CA,California,,23702,36.54328,-119.38707
Van Nest,NY,New York,,23700,40.84843,-73.86375
Barstow,CA,California,,23692,34.89859,-117.02282
Fairland,MD,Maryland,,23681,39.07622,-76.95775
Brookings,SD,South Dakota,,23657,44.31136,-96.79839
Blue Island,IL,Illinois,,23652,41.65726,-87.68005
Faribault,MN,Minnesota,,23650,44.29496,-93.26883
Chestnut Hill,MA,Massachusetts,,23649,42.33065,-71.16616
Baileys Crossroads,VA,Virginia,,23643,38.85039,-77.1297
Eagle,ID,Idaho,,23612,43.69544,-116.35401
Norland,FL,Florida,,23604,25.94898,-80.21227
